station_uid,live_provider_key,provider,provider_station_id,station_name,water_year,water_month,month_label,month_start_water_day,n_daily_obs,monthly_min_daily_obs,monthly_mean_ok,swe_month_mean_in,swe_month_max_in,monthly_ref_ok,monthly_ref_n_years,min_years_for_monthly_context,monthly_ref_start_date,monthly_ref_end_date,monthly_ref_start_wy,monthly_ref_end_wy,monthly_ref_label,monthly_ref_wy_label,monthly_ref_p30_swe_in,monthly_ref_p50_swe_in,monthly_ref_p70_swe_in
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,1,Oct,1,29,10,TRUE,0.15517241379310345,0.9,TRUE,23,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.03965217391304348,0.1,0.24230414746543777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,2,Nov,32,30,10,TRUE,0.17,0.3,TRUE,29,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.5954444444444444,0.7233333333333334,1.304126984126984
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,3,Dec,62,31,10,TRUE,3.1870967741935483,9.1,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,2.6083870967741936,3.2250537634408603,4.1940769230769215
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,4,Jan,93,31,10,TRUE,9.770967741935484,10.1,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,4.932315789473685,6.518817204301075,8.05290322580645
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,5,Feb,124,28,10,TRUE,9.792857142857143,10.4,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,7.6373376623376625,9.610714285714286,13.000714285714286
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,6,Mar,152,31,10,TRUE,9.17741935483871,11.1,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,8.364082313681868,11.868010752688171,14.711333333333332
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,7,Apr,183,25,10,TRUE,1.204,3.4,TRUE,33,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,3.6979310344827585,6.910526315789474,12.338697318007663
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,8,May,213,14,10,TRUE,0.15714285714285714,0.8,TRUE,24,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.15535714285714286,0.6393540669856459,2.68368817204301
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,10,Jul,274,9,10,FALSE,,0.1,TRUE,12,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.09655172413793103,0.15492610837438425,0.2531111111111111
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,11,Aug,305,29,10,TRUE,0.07931034482758621,0.1,TRUE,12,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.05879310344827586,0.23048433048433048,0.296
